epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,166.68,0.44124,0.50215,0.81254,0.77307,0.83333,0.92482,0.68467,0.48913,0.65908,0.83867,0.000240644,0.000240644,0.000240644
170,167.643,0.43187,0.4958,0.79939,0.77307,0.83333,0.92482,0.68467,0.48913,0.65908,0.83867,0.00023357,0.00023357,0.00023357
171,168.623,0.4164,0.51305,0.81108,0.77307,0.83333,0.92482,0.68467,0.48913,0.65908,0.83867,0.000226497,0.000226497,0.000226497
172,169.576,0.40257,0.4504,0.79698,0.78725,0.83333,0.92448,0.69917,0.48408,0.66212,0.83997,0.000219423,0.000219423,0.000219423
173,170.553,0.49386,0.5785,0.81837,0.78725,0.83333,0.92448,0.69917,0.48408,0.66212,0.83997,0.000212349,0.000212349,0.000212349
174,171.472,0.43784,0.4989,0.80786,0.78725,0.83333,0.92448,0.69917,0.48408,0.66212,0.83997,0.000205276,0.000205276,0.000205276
175,172.475,0.43237,0.53688,0.79826,0.78725,0.83333,0.92448,0.69917,0.48408,0.66212,0.83997,0.000198202,0.000198202,0.000198202
176,173.477,0.43672,0.50749,0.80283,0.79652,0.82878,0.81192,0.68551,0.49594,0.66151,0.83897,0.000191129,0.000191129,0.000191129
177,174.432,0.45356,0.56748,0.81483,0.79652,0.82878,0.81192,0.68551,0.49594,0.66151,0.83897,0.000184055,0.000184055,0.000184055
178,175.376,0.43932,0.48226,0.80554,0.79652,0.82878,0.81192,0.68551,0.49594,0.66151,0.83897,0.000176982,0.000176982,0.000176982
179,176.346,0.38264,0.45469,0.79748,0.79652,0.82878,0.81192,0.68551,0.49594,0.66151,0.83897,0.000169908,0.000169908,0.000169908
180,177.354,0.42767,0.49738,0.80966,0.79591,0.82266,0.81072,0.66746,0.51104,0.64863,0.83926,0.000162835,0.000162835,0.000162835
181,178.359,0.52255,0.53255,0.8198,0.79591,0.82266,0.81072,0.66746,0.51104,0.64863,0.83926,0.000155761,0.000155761,0.000155761
